State,State Abbreviation,"Car, truck or van drove alone %","Car, truck or van carpooled %",Public transportation (excluding taxicab) %,Walked %,"Taxicab, motorcycle, bicycle or other means %",Worked at home %,GDP in billion current U.S. dollars,Median household income in 2015,Population density(Pop. Per km²),land area (km²),"Population estimate July 1, 2016",Number of workers,Mean travel time to work (minutes),avgPrice,salesVolume
Georgia,GA,79.5974052394365,10.308480277251709,2.0753097631163597,1.5026578422250045,1.658719123018095,4.85742775495233,0.3692966487051766,-0.5478188000261285,-0.15345774302866738,-0.13863002588174983,0.5541371772025847,0.4824969240266072,0.7860289484112295,0.16194975968083683,1.108472466567262
Hawaii,HI,67.56497919535546,13.458775871965928,6.122573411099181,4.212531563872787,4.236474006834749,4.404665950871892,-0.605485612993493,1.8122705017966487,-0.12548319673809374,-0.7419427920358105,-0.6841813561265884,-0.6908735462769678,0.7769014912976469,-2.0247906487270075,-0.7013276423664333
Idaho,ID,78.81777286717701,9.556252286897065,0.6944992502564912,3.0824861351260213,2.342069579067448,5.506919881475954,-0.6394658166845076,-0.8628581461780854,-0.2564751658799924,0.15812048572539017,-0.6486869349227058,-0.6829429246585895,-1.1300831344498758,-0.34428944421740404,-0.6615239131397961
Illinois,IL,73.62252423842713,8.34830142252233,9.134588582488332,3.1404610846701377,1.5529368119233993,4.201187859968663,0.9256519098763369,0.33755954429584134,-0.12019239933329923,-0.162183680169346,0.9014603145748118,1.0278710424334272,1.1316998879065894,-0.025697014436022476,1.0786464915672482
Indiana,IN,83.03381396954683,8.814566265906766,1.1848319723095448,1.9898816613600692,1.6609633769123167,3.315942753964484,-0.03884219168942247,-0.6233688217372074,-0.14964757319069308,-0.39472928281831154,0.04143886666095797,0.055579879889866825,-0.1524798546975575,-0.74842471202683,-0.02051578855916226
Iowa,IA,80.86116517652897,8.596724540357787,1.0974418225947782,3.7174605882489784,1.565613877278825,4.161593994990656,-0.392069022919342,-0.17728414298246614,-0.23329591728946592,-0.15818968071988138,-0.4463087966269071,-0.4071421748136452,-1.3773048053663437,0.18185352706976152,-0.6007633237812546
Kansas,KS,82.42637037954287,9.106106278342967,0.5084905612834437,2.476578692928,1.4935785338222176,3.988875554080487,-0.4598203213555804,-0.26535509525802164,-0.2466254309394651,0.14767499173141363,-0.4780138726117439,-0.4585328233849228,-1.3093346345387173,-0.29002558371202325,-0.4499526084634387
Kentucky,KY,82.76760401912277,9.565505743899852,1.051387600204856,2.257970853002878,1.1560656482431872,3.201466135526465,-0.36632771169248723,-1.187553464206037,-0.19683036425155662,-0.3515065490501327,-0.2647424299024464,-0.3036546797936286,-0.3020569662337718,-0.39422094515694633,-0.13713749656281363
Louisiana,LA,82.60529308816557,9.648731604984185,1.3388180123632043,1.7126268054868963,2.3073042883195587,2.387226200680596,-0.27484254790898627,-1.1332253587059353,-0.19942732179303196,-0.3076044706267367,-0.23062702976488644,-0.26547168243470737,0.4915854291303195,0.9935003920255366,-0.43639859824160987
Maine,ME,77.43602295719288,10.62270829392963,0.6856641517171007,3.9124498745174208,1.6302404274831483,5.7129142951598215,-0.6614013450979688,-0.521291404762407,-0.24169171571711917,-0.4535723842963828,-0.6977161460443382,-0.7049050950130292,-0.26635983184052786,0.5591571830118669,-0.7424545863112966
Maryland,MD,74.0134189011705,9.037599394554382,9.114264285156741,2.3721318541093264,1.2222942452122623,4.240291319796782,0.03332130550300305,2.062795222667235,0.13212815841076242,-0.7031563156470028,-0.044529454400704445,0.04649820112502935,2.3550961724429134,-0.23644634464258432,0.05894861965430395
Massachusetts,MA,71.80719312944993,7.4433163686039165,9.886171265301853,4.765216021462803,1.6640346233201746,4.434068591861319,0.31315089676033103,1.5090093191417842,0.29648663480360693,-0.7256795545515179,0.06635716805612227,0.1696201371320406,1.261517680296893,0.22845329983981547,0.08437579978021506
Michigan,MI,82.37954752367506,8.774249327011876,1.5300479723338023,2.15945678139044,1.3083618949773612,3.848336500611467,0.26620593843028306,-0.5647963329949103,-0.1558355517193386,-0.15013785077952232,0.5008681490122161,0.47721211263783625,0.05565698084082501,-1.0625540039770847,-0.3063301676959858
